iter	Passed	Remaining
941	65908	39041
942	65932	38944
943	65952	38844
944	65977	38748
945	66001	38652
946	66023	38554
947	66045	38456
948	66069	38360
949	66091	38263
950	66113	38166
951	66137	38070
952	66159	37973
953	66181	37877
954	66208	37783
955	66234	37689
956	66261	37596
957	66287	37503
958	66321	37413
959	66350	37321
960	66377	37229
961	66407	37138
962	66435	37046
963	66458	36951
964	66480	36857
965	66506	36764
966	66527	36669
967	66554	36577
968	66582	36486
969	66608	36394
970	66630	36300
971	66657	36208
972	66683	36117
973	66713	36028
974	66738	35935
975	66760	35842
976	66788	35752
977	66810	35659
978	66833	35567
979	66857	35475
980	66879	35382
981	66902	35290
982	66927	35200
983	66949	35107
984	66975	35017
985	67034	34945
986	67069	34859
987	67094	34769
988	67120	34679
989	67142	34588
990	67175	34502
991	67201	34413
992	67224	34322
993	67252	34234
994	67277	34145
995	67298	34054
996	67321	33964
997	67347	33876
998	67371	33786
999	67393	33696
1000	67419	33608
1001	67439	33517
1002	67461	33428
1003	67483	33338
1004	67503	33248
1005	67524	33158
1006	67547	33069
1007	67568	32979
1008	67589	32890
1009	67612	32802
1010	67630	32711
1011	67654	32623
1012	67674	32534
1013	67695	32445
1014	67715	32356
1015	67737	32268
1016	67756	32179
1017	67776	32090
1018	67798	32003
1019	67827	31918
1020	67851	31832
1021	67870	31743
1022	67889	31655
1023	67906	31021	1024	67927	31022	1025	67947	31023	1026	67969	31024	71650	33203
1025	71679	33115
1026	71707	33025
1027	71732	32935
1028	71756	32844
1029	71783	32755
1030	71811	32666
1031	71841	32579
1032	71866	32489
1033	71889	32398
1034	71913	32308
1035	71941	32221
1036	71968	32132
1037	71994	32043
1038	72023	31956
1039	72049	31867
1040	72072	31778
1041	72104	31692
1042	72133	31605
1043	72161	31518
1044	72191	31432
1045	72216	31344
1046	72250	31260
1047	72275	31172
1048	72300	31084
1049	72326	30997
1050	72366	30915
1051	72391	30828
1052	72419	30742
1053	72446	30655
1054	72472	30569
1055	72499	30482
1056	72527	30396
1057	72550	30309
1058	72574	30222
1059	72602	30136
1060	72625	30049
1061	72653	29964
1062	72683	29880
1063	72702	29791
1064	72722	29703
1065	72740	29614
1066	72760	29526
1067	72780	29439
1068	72799	29351
1069	72819	29263
1070	72838	29176
1071	72861	29090
1072	72893	29008
1073	72918	28922
1074	72933	28834
1075	72949	28745
1076	72968	28658
1077	72994	28574
1078	73014	28488
1079	73031	28401
1080	73049	28314
1081	73069	28228
1082	73089	28142
1083	73108	28056
1084	73125	27969
1085	73143	27883
1086	73160	27797
1087	73178	27710
1088	73195	27624
1089	73212	27538
1090	73228	27452
1091	73248	27367
1092	73265	27281
1093	73282	27196
1094	73298	27110
1095	73314	27024
1096	73336	26941
1097	73360	26858
1098	73388	26777
1099	73414	26696
1100	73430	26610
1101	73447	26526
1102	73463	26441
1103	73482	26357
1104	73504	26275
1105	73524	26192
1106	73539	26107
1107	73557	26023
1108	73575	25940
1109	73596	25858
1110	73613	25774
1111	73630	25691
1112	73643	25606
1113	73662	25524
1114	73680	25441
1115	73696	25358
1116	73712	25274
1117	73734	25193
1118	73747	25109
1119	73769	25028
1120	73784	24945
1121	73799	24863
1122	73817	24781
1123	73829	24697
1124	73843	24614
1125	73856	24531
1126	73872	24449
1127	73891	24368
1128	73907	24286
1129	73921	24204
1130	73935	24122
1131	73951	24040
1132	73964	23958
1133	73978	23876
1134	73992	23794
1135	74005	23712
1136	74019	23631
1137	74034	23550
1138	74048	23469
1139	74063	23388
1140	74078	23307
1141	74093	23227
1142	74109	23147
1143	74123	23066
1144	74137	22985
1145	74152	22905
1146	74167	22825
1147	74183	22746
1148	74200	22667
1149	74224	22590
1150	74245	22512
1151	74273	22436
1152	74307	22363
1153	74333	22287
1154	74356	22210
1155	74374	22132
1156	74393	22054
1157	74419	21978
1158	74444	21902
1159	74474	21828
1160	74496	21752
1161	74519	21676
1162	74541	21599
1163	74570	21525
1164	74595	21450
1165	74612	21372
1166	74628	21294
1167	74642	21216
1168	74655	21138
1169	74669	21060
1170	74685	20983
1171	74702	20906
1172	74716	20828
1173	74730	20751
1174	74744	20674
1175	74758	20596
1176	74771	20519
1177	74785	20442
